Drug,lncRNA
Minoxidil,TCL6
Minoxidil,AL117378.1
Minoxidil,AL139352.1
digitoxigenin,ACVR2B-AS1
digitoxigenin,AL031598.1
digitoxigenin,CTXND1
digitoxigenin,PART1
digitoxigenin,EGOT
digitoxigenin,AC010834.1
digitoxigenin,AC068870.1
digitoxigenin,KIF25-AS1
digitoxigenin,MCF2L-AS1
digitoxigenin,LINC00474
digitoxigenin,LINC01963
digitoxigenin,KLF3-AS1
digitoxigenin,TCL6
digitoxigenin,AL117378.1
digitoxigenin,SNHG3
digitoxigenin,AL157838.1
Pregnenolone,PYY2
Pregnenolone,AL031598.1
Pregnenolone,KCNQ1DN
Pregnenolone,RFPL1S
Pregnenolone,AL021937.4
Pregnenolone,AL450384.2
Pregnenolone,TCL6
Pregnenolone,AC007389.3
Pregnenolone,LINC01963
Pregnenolone,AC013391.3
Pregnenolone,GSN-AS1
Pregnenolone,AL157838.1
Pregnenolone,MYCNOS
Pregnenolone,KIF25-AS1
Pregnenolone,AC010834.1
Pregnenolone,LINC00474
Pregnenolone,DIAPH2-AS1
Pregnenolone,AL355922.1
Scopolamine,RFPL1S
Scopolamine,MYCNOS
Scopolamine,AL031598.1
Scopolamine,CTXND1
Scopolamine,AC004817.1
Scopolamine,PYY2
Scopolamine,KLF3-AS1
Scopolamine,AC007389.3
Scopolamine,TCL6
Scopolamine,ENSG00000229645
Scopolamine,AL450384.2
Gabexate,AC010834.1
Gabexate,PYY2
Gabexate,AL450384.2
Gabexate,TCL6
Gabexate,EGOT
Gabexate,TP73-AS1
Gabexate,AL031598.1
Gabexate,AC004817.1
Gabexate,AC068870.1
Gabexate,KIF25-AS1
Gabexate,NEAT1
Gabexate,AC013391.3
Gabexate,CTXND1
Tolnaftate,ACVR2B-AS1
Tolnaftate,LINC01963
Tolnaftate,ATXN8OS
Tolnaftate,TCL6
Tolnaftate,PART1
Tolnaftate,CTXND1
Tolnaftate,AC090360.1
Tolnaftate,AL031598.1
Tolnaftate,MCF2L-AS1
Tolnaftate,EGOT
Tolnaftate,AC013391.3
Tolnaftate,AL034550.1
Tolnaftate,PYY2
Tolnaftate,LINC02172
Tolnaftate,LINC01361
Tolnaftate,AC010834.1
Tolnaftate,KIF25-AS1
Tolnaftate,KLF3-AS1
Tolnaftate,LINC00652
Tolnaftate,LINC00474
Tolnaftate,AL441883.1
Tolnaftate,LINC00599
Tolnaftate,AL450384.2
Tolnaftate,SMIM27
Amantadine,DIAPH2-AS1
Amantadine,ACVR2B-AS1
Amantadine,MCF2L-AS1
Amantadine,EGOT
Amantadine,RHPN1-AS1
Amantadine,CTXND1
Amantadine,KIF25-AS1
Amantadine,AL157838.1
Amantadine,AL031598.1
Amantadine,AC010834.1
Amantadine,AC007389.3
Nystatin,MYCNOS
Nystatin,AC010834.1
Nystatin,AFDN-DT
Nystatin,ZNF710-AS1
Nystatin,AC007389.3
Nystatin,AL441883.1
Nystatin,AL117378.1
Nystatin,KIF25-AS1
Nystatin,AL355922.1
Nystatin,IDI2-AS1
Nystatin,EGOT
Nystatin,LINC00563
Benzocaine,AC010834.1
Benzocaine,CTXND1
Benzocaine,ACVR2B-AS1
Benzocaine,TP73-AS1
Benzocaine,TCL6
Benzocaine,AL450384.2
Benzocaine,AP003469.4
Benzocaine,AC013391.3
Benzocaine,KLF3-AS1
Benzocaine,LINC00599
Benzocaine,MYCNOS
Benzocaine,AL034550.1
Benzocaine,SMG7-AS1
carcinine,TCL6
carcinine,AC007389.3
carcinine,AL117378.1
salsolidin,LINC01963
salsolidin,AC007389.3
salsolidin,LINC00963
corynanthine,LINC00599
corynanthine,ZNF710-AS1
Theophylline,ENSG00000229645
Theophylline,AC007389.3
Cyclopenthiazide,AL117378.1
Cyclopenthiazide,LINC00474
Cyclopenthiazide,AC068870.1
Cyclopenthiazide,KLF3-AS1
Cyclopenthiazide,MYCNOS
Cyclopenthiazide,AL157838.1
Cyclopenthiazide,KIF25-AS1
Cyclopenthiazide,AL031598.1
Cyclopenthiazide,LINC00652
Cyclopenthiazide,TCL6
Cyclopenthiazide,MEG3
Cyclopenthiazide,PART1
Cyclopenthiazide,NOP14-AS1
Cyclopenthiazide,AL441883.1
Cyclopenthiazide,AFDN-DT
Minaprine,LINC01361
Cetirizine,IDI2-AS1
Cetirizine,ZNF710-AS1
Cetirizine,AC002310.2
Cetirizine,LINC00963
salsolinol,AC007389.3
Procyclidine,KIF25-AS1
Procyclidine,AC007389.3
Procyclidine,LINC00599
Procyclidine,AL157838.1
Procyclidine,IDI2-AS1
Gibberellic acid,CTXND1
Gibberellic acid,AC007876.1
Gibberellic acid,AC090360.1
Gibberellic acid,LINC00599
Doxylamine,AL157838.1
SR-95531,AL157838.1
SR-95531,AC007389.3
seneciphylline,AL355922.1
fosfosal,LINC00963
fosfosal,PART1
fosfosal,ATXN8OS
fosfosal,AL355922.1
Letrozole,MCF2L-AS1
amprolium,NOP14-AS1
amprolium,LINC01963
7-aminocephalosporanic acid,NDUFB2-AS1
7-aminocephalosporanic acid,LINC00963
7-aminocephalosporanic acid,AC007876.1
7-aminocephalosporanic acid,LINC01963
emetine,AC007405.1
emetine,LINC00652
emetine,LINC01963
emetine,AL355922.1
emetine,ELOA-AS1
emetine,LINC00963
emetine,AC098487.1
emetine,LINC01361
emetine,NOP14-AS1
emetine,NEAT1
emetine,SNHG20
emetine,AL021937.4
Simvastatin,AC007389.3
Simvastatin,SNHG3
Simvastatin,LINC01963
Simvastatin,AL355922.1
cefalonium,AL355922.1
cefalonium,LINC00963
cefalonium,MCF2L-AS1
Oxetacaine,AL157838.1
Oxetacaine,ATXN8OS
Piperine,LINC01963
Piperine,AC096564.2
Piperine,AL157838.1
Piperine,SMAD5-AS1
Orciprenaline,ZNF213-AS1
Orciprenaline,AL157838.1
Orciprenaline,LINC01963
Orciprenaline,KIF25-AS1
Orciprenaline,AL355922.1
Indoprofen,MCF2L-AS1
Indoprofen,LINC00652
Indoprofen,AL021937.4
Antipyrine,AC002310.2
Antipyrine,AC007389.3
Antipyrine,LINC00963
Antipyrine,MCF2L-AS1
Antipyrine,LINC00342
Cyclobenzaprine,AL355922.1
Cyclobenzaprine,AC007389.3
nifuroxazide,AP003469.4
Dydrogesterone,CERNA1
Dydrogesterone,IDI2-AS1
Dydrogesterone,AC002310.2
(+/-)-catechin,AC007405.1
Tocainide,LINC00963
Tocainide,AL157838.1
Tocainide,AC007389.3
Tocainide,LINC00599
Tocainide,AC090360.1
sulfaguanidine,SMG7-AS1
sulfaguanidine,MYCNOS
sulfaguanidine,PYY2
sulfaguanidine,CTXND1
sulfaguanidine,LINC00474
sulfaguanidine,AC010834.1
sulfaguanidine,AL031598.1
sulfaguanidine,MEG3
sulfaguanidine,TCL6
sulfaguanidine,FOXD1-AS1
sulfaguanidine,KIF25-AS1
sulfaguanidine,LINC00652
sulfaguanidine,RHPN1-AS1
buflomedil,AL157395.1
buflomedil,AL034550.1
buflomedil,LINC01136
buflomedil,AC007389.3
buflomedil,AL355922.1
buflomedil,KLF3-AS1
buflomedil,AC090360.1
buflomedil,LINC00474
buflomedil,MYCNOS
R-atenolol,AL031598.1
R-atenolol,AC010834.1
R-atenolol,CTXND1
R-atenolol,NDST2
R-atenolol,AL157395.1
R-atenolol,AP003469.4
R-atenolol,AC090360.1
R-atenolol,ZNF710-AS1
R-atenolol,LINC01136
R-atenolol,AL021937.4
R-atenolol,AC013391.3
R-atenolol,AFDN-DT
R-atenolol,KIF25-AS1
R-atenolol,TCL6
R-atenolol,IDI2-AS1
R-atenolol,MYCNOS
R-atenolol,AL034550.1
picrotoxinin,AC007389.3
picrotoxinin,AC010834.1
picrotoxinin,MYMX
picrotoxinin,SMG7-AS1
picrotoxinin,MYCNOS
picrotoxinin,AL034550.1
picrotoxinin,KIF25-AS1
picrotoxinin,Z83844.2
picrotoxinin,AC090360.1
picrotoxinin,MCF2L-AS1
picrotoxinin,TCL6
picrotoxinin,FOXD1-AS1
picrotoxinin,AL139352.1
picrotoxinin,AL157838.1
picrotoxinin,LINC00652
picrotoxinin,AC007613.1
Zuclopenthixol,AL034550.1
Zuclopenthixol,LINC00599
Zuclopenthixol,MEG3
Zuclopenthixol,PYY2
Zuclopenthixol,SMG7-AS1
Zuclopenthixol,KLF3-AS1
Zuclopenthixol,AC010834.1
Zuclopenthixol,LINC00652
Zuclopenthixol,MYCNOS
Zuclopenthixol,AP003469.4
Zuclopenthixol,NEAT1
Zuclopenthixol,AL031598.1
Zuclopenthixol,KIF25-AS1
Zuclopenthixol,AC002310.2
Zuclopenthixol,RFPL1S
Zuclopenthixol,LINC00574
Zuclopenthixol,TCL6
Zuclopenthixol,LINC00474
Zuclopenthixol,LINC00472
Tolazoline,AL441883.1
Tolazoline,AL031598.1
Tolazoline,LINC00599
Tolazoline,KIF25-AS1
Tolazoline,MEG3
Tolazoline,LINC00652
Tolazoline,AC010834.1
Tolazoline,TCL6
Tolazoline,AP003469.4
Tolazoline,MYCNOS
Tolazoline,AC004674.1
Tolazoline,NDST2
Primaquine,AL034550.1
Primaquine,IDI2-AS1
Primaquine,AL117378.1
Primaquine,PART1
Primaquine,GSN-AS1
Primaquine,AC068870.1
Primaquine,NDST2
Primaquine,ZNF710-AS1
Primaquine,MCF2L-AS1
Primaquine,KIF25-AS1
Primaquine,EGOT
Primaquine,CTXND1
Primaquine,SNHG3
Primaquine,LINC00652
Primaquine,SMG7-AS1
Primaquine,AP003469.4
Primaquine,AC010834.1
Primaquine,FOXD1-AS1
Primaquine,LINC00474
Primaquine,MCM3AP-AS1
Primaquine,AC004674.1
Primaquine,AL031598.1
Primaquine,MYCNOS
Quercetin,TP73-AS1
Quercetin,LINC01361
Quercetin,AC002310.2
Quercetin,AC096564.2
Quercetin,MMP24OS
Quercetin,CTXND1
Quercetin,LINC00652
Quercetin,AC010834.1
Quercetin,AL441883.1
succinylsulfathiazole,TCL6
succinylsulfathiazole,LINC00652
succinylsulfathiazole,AC007389.3
succinylsulfathiazole,ACVR2B-AS1
succinylsulfathiazole,AC010834.1
succinylsulfathiazole,MEG3
succinylsulfathiazole,KIF25-AS1
succinylsulfathiazole,AL157395.1
Medrysone,NDUFB2-AS1
Medrysone,TCL6
Medrysone,WT1-AS
Medrysone,AC007613.1
Medrysone,MIR22HG
Medrysone,LINC00342
Medrysone,AC044802.1
Demeclocycline,CTXND1
Demeclocycline,MIR22HG
Demeclocycline,NDUFB2-AS1
Demeclocycline,CROCCP2
Demeclocycline,AC007389.3
Demeclocycline,SNHG17
meclofenoxate,LINC02172
meclofenoxate,SNHG20
meclofenoxate,KIF25-AS1
meclofenoxate,ZNF710-AS1
meclofenoxate,LINC01361
Levonorgestrel,THAP9-AS1
Levonorgestrel,MEG3
Levonorgestrel,TCL6
Levonorgestrel,ZNF710-AS1
Levonorgestrel,NDUFB2-AS1
Levonorgestrel,LINC00963
Levonorgestrel,AL157838.1
Cloperastine,NDST2
Cloperastine,LINC00963
Flumethasone,CROCCP2
Flumethasone,LINC00342
Flumethasone,NDUFB2-AS1
Flumethasone,PRIM2
Flumethasone,SNHG20
Flumethasone,IDI2-AS1
Flunixin,AC098487.1
Flunixin,SMIM27
Flunixin,NDUFB2-AS1
Flunixin,IDI2-AS1
Flunixin,NDST2
Flunixin,AC010542.4
Flunixin,CROCCP2
Flunixin,LINC00963
Fenoprofen,IDI2-AS1
Fenoprofen,NDUFB2-AS1
Fenoprofen,AC010542.4
heliotrine,AC044802.1
heliotrine,LINC00963
Bromopride,LINC00472
Bromopride,SNHG20
Bromopride,AL450384.2
Bromopride,AC098487.1
Tropicamide,ZNF710-AS1
Lomefloxacin,IDI2-AS1
Lomefloxacin,TCL6
Lomefloxacin,AL355922.1
Lomefloxacin,KIF25-AS1
Lomefloxacin,NDUFB2-AS1
Lomefloxacin,XIST
Hydralazine,IDI2-AS1
Hydralazine,NDUFB2-AS1
Phenformin,AC010542.4
Phenformin,LINC00963
Phenformin,SNHG20
Phenformin,ZNF213-AS1
Prilocaine,XIST
Prilocaine,KLF3-AS1
Prilocaine,AC098487.1
Prilocaine,LINC00963
Metoclopramide,NDST2
Metoclopramide,LINC01963
Ketoprofen,NDST2
Ketoprofen,MCF2L-AS1
myosmine,AC096564.2
myosmine,LINC00963
myosmine,RHPN1-AS1
myosmine,NDUFB2-AS1
benzamil,AL450384.2
foliosidine,AL157838.1
foliosidine,MYCNOS
foliosidine,PART1
Gossypol,PRIM2
karakoline,AL157838.1
karakoline,MCF2L-AS1
etiocholanolone,LINC00472
etiocholanolone,AC007389.3
etiocholanolone,AC004690.2
etiocholanolone,MCF2L-AS1
etiocholanolone,KIF25-AS1
etiocholanolone,NOP14-AS1
etiocholanolone,PRKCZ-AS1
Diphenylpyraline,AL355922.1
Diphenylpyraline,NOP14-AS1
Finasteride,AL157838.1
Finasteride,ZNF710-AS1
betonicine,MEG3
betonicine,SMG7-AS1
betonicine,ZNF710-AS1
betonicine,AL117378.1
betonicine,AC007389.3
betonicine,AL157838.1
Flunisolide,NDST2
Flunisolide,AC010542.4
mepenzolate bromide,AP003469.4
solasodine,PRIM2
eldeline,SNHG20
Promazine,AC098487.1
famprofazone,AP003469.4
metamizole sodium,SMIM27
citiolone,ATXN8OS
Benfotiamine,ZNF213-AS1
Benfotiamine,AC010542.4
Fluocinonide,XIST
eucatropine,AL450384.2
Deferoxamine,PRKCZ-AS1
Deferoxamine,AP003469.4
Piperacillin,TP73-AS1
Sulfamethazine,PRKCZ-AS1
Sulfamethazine,NDST2
Sulfamethazine,AP003469.4
Dicoumarol,LINC02172
Dicoumarol,AL355922.1
methylbenzethonium chloride,NDST2
methylbenzethonium chloride,AP003469.4
methylbenzethonium chloride,LINC00563
Sulfachlorpyridazine,CTXND1
Sulfachlorpyridazine,LINC00563
helveticoside,AP003469.4
helveticoside,AC007876.1
helveticoside,SMAD5-AS1
lanatoside C,LINC02172
lanatoside C,THAP9-AS1
lanatoside C,MEG3
lanatoside C,AL450384.2
lanatoside C,SNHG17
lanatoside C,AL355922.1
lanatoside C,SMIM27
Indapamide,AC007876.1
Indapamide,PRKCZ-AS1
Indapamide,LINC00563
Indapamide,LINC00599
Phentolamine,AP003469.4
ethisterone,PRKCZ-AS1
ethisterone,AP003469.4
ethisterone,AL157838.1
ethisterone,AC002310.2
ethisterone,NOP14-AS1
ethisterone,AC007876.1
Vincamine,NDUFB2-AS1
Vincamine,NOP14-AS1
Fludrocortisone,PART1
Fludrocortisone,PRIM2
Fludrocortisone,AP003469.4
Dantrolene,PRKCZ-AS1
Dantrolene,AC090360.1
trichostatin A,AC007876.1
Chlorambucil,AL034550.1
Chlorambucil,AL355922.1
levcycloserine,LINC01136
levcycloserine,LINC00342
levcycloserine,KIF25-AS1
levcycloserine,DIAPH2-AS1
Nialamide,LINC00963
Rifabutin,SNHG17
Rifabutin,SNHG3
Rifabutin,MCF2L-AS1
Rifabutin,NDUFB2-AS1
Rifabutin,AC007876.1
Quinethazone,AP003469.4
Oxaprozin,AP003469.4
santonin,NDUFB2-AS1
santonin,AC096564.2
Homosalate,AL441883.1
Homosalate,XIST
Homosalate,AL021937.4
parbendazole,NDUFB2-AS1
Cyclacillin,LINC00563
Cyclacillin,AL157838.1
Cyclacillin,LINC01963
Orphenadrine,LINC00563
Orphenadrine,ELOA-AS1
Orphenadrine,LINC00342
Phenelzine,LINC00342
Phenelzine,TCL6
Phenelzine,LINC02172
Phenelzine,LINC01963
Phenelzine,SNHG17
Phenelzine,NDUFB2-AS1
Flutamide,AP003469.4
Flutamide,TCL6
Tolbutamide,MEG3
Tolbutamide,NDUFB2-AS1
Tolbutamide,KIF25-AS1
Tolbutamide,LINC00574
Tolbutamide,LINC00563
Tolbutamide,AL117378.1
"2,6-dimethylpiperidine",AP003469.4
beta-escin,AC096564.2
lycorine,AL157838.1
lycorine,LINC00963
lycorine,THAP9-AS1
lycorine,AL355922.1
Ethotoin,AC007613.1
Ethotoin,LINC00563
Ethotoin,AP003469.4
Ethotoin,LINC00574
Chlorcyclizine,KIF25-AS1
Chlorcyclizine,AL157838.1
Chlorcyclizine,LINC00342
Chlorcyclizine,LINC00563
Pramocaine,LINC00563
Pramocaine,AL157838.1
Diethylstilbestrol,MCF2L-AS1
Diethylstilbestrol,LINC01136
Diethylstilbestrol,NDUFB2-AS1
Tinidazole,MAPKAPK5-AS1
Guaifenesin,AC004690.2
Guaifenesin,AL157838.1
Methimazole,AL355922.1
Methimazole,FOXD1-AS1
lithocholic acid,NDUFB2-AS1
alpha-ergocryptine,AC010834.1
alpha-ergocryptine,AC007613.1
alpha-ergocryptine,SNHG20
alpha-ergocryptine,AC007876.1
alpha-ergocryptine,AC098487.1
alpha-ergocryptine,NDUFB2-AS1
Spiradoline,SNHG14
Spiradoline,LINC01136
Spiradoline,AFDN-DT
withaferin A,ACVR2B-AS1
withaferin A,MCF2L-AS1
withaferin A,LINC00652
withaferin A,HEXA-AS1
withaferin A,AC096564.2
withaferin A,LINC00342
Citalopram,AL441883.1
Citalopram,AL157838.1
Citalopram,LINC00652
Citalopram,PVT1
Paroxetine,AFDN-DT
Paroxetine,LINC01361
Paroxetine,AC007613.1
Paroxetine,XIST
thiostrepton,AC098487.1
thiostrepton,RHPN1-AS1
thiostrepton,MEG3
thiostrepton,NDUFB2-AS1
thiostrepton,ZNF213-AS1
thiostrepton,VASH1-AS1
thiostrepton,AC007876.1
thiostrepton,SNHG3
Rescinnamine,IDI2-AS1
Rescinnamine,AL441883.1
Rescinnamine,LINC00652
Rescinnamine,ENSG00000229645
Etidronic acid,AC027702.1
Sulpiride,AL031598.1
Sulpiride,VASH1-AS1
Cefixime,LINC00563
Cefixime,LINC00339
Cefixime,VASH1-AS1
Cefixime,TCL6
Cefixime,LINC01963
Cefixime,MYCNOS
Sparteine,LINC00563
Sparteine,NDST2
Sparteine,NDUFB2-AS1
pancuronium bromide,AP003469.4
pancuronium bromide,LINC00963
pancuronium bromide,GSN-AS1
Levodopa,LINC00963
Levodopa,KIF25-AS1
Cyanocobalamin,LINC00563
Pentamidine,LINC02172
Pentamidine,IDI2-AS1
Bicuculline,AC096564.2
Bicuculline,LINC00342
Bicuculline,NDST2
piromidic acid,NDST2
piromidic acid,LINC00342
piromidic acid,SNHG14
etamsylate,AP003469.4
etamsylate,AC002310.2
Apigenin,LINC00963
Apigenin,AC002310.2
Apigenin,NDST2
Thiabendazole,AL117378.1
Thiabendazole,SMAD5-AS1
beclometasone,MYCNOS
beclometasone,VASH1-AS1
Proscillaridin,ZNF213-AS1
Proscillaridin,ELOA-AS1
Proscillaridin,NEAT1
Proscillaridin,MCF2L-AS1
Proscillaridin,IDI2-AS1
Proscillaridin,MIR22HG
Proscillaridin,LINC00563
Dicyclomine,NEAT1
Dicyclomine,ACVR2B-AS1
Dicyclomine,AC096564.2
Dicyclomine,NDUFB2-AS1
Dicyclomine,MYCNOS
N-acetylmuramic acid,NOP14-AS1
N-acetylmuramic acid,NDST2
N-acetylmuramic acid,TCL6
Terconazole,AP003469.4
Terconazole,MYCNOS
harman,NDUFB2-AS1
harman,ATXN8OS
harman,ENSG00000229645
harman,NDST2
alcuronium chloride,RFPL1S
alcuronium chloride,NDST2
Captopril,CERNA1
Captopril,HEXA-AS1
tetramisole,AL139352.1
tetramisole,NDST2
tetramisole,VASH1-AS1
tetramisole,AC010834.1
tetramisole,LINC01361
vitexin,CTXND1
vitexin,NDUFB2-AS1
Chloropyramine,MCF2L-AS1
Chloropyramine,NDUFB2-AS1
Chloropyramine,ENSG00000229645
Etilefrine,AL139352.1
Diphemanil Methylsulfate,AL021937.4
Diphemanil Methylsulfate,MYCNOS
Diphemanil Methylsulfate,AC002310.2
Diphemanil Methylsulfate,NDUFB2-AS1
Bacampicillin,AL355922.1
Ethionamide,NDST2
Ethionamide,LINC00563
Paromomycin,AL117378.1
Paromomycin,AP003469.4
Paromomycin,AC010834.1
Paromomycin,NDUFB2-AS1
Paromomycin,ACVR2B-AS1
Paromomycin,AC007389.3
Paromomycin,PART1
Lidocaine,AL117378.1
Lidocaine,AL021937.4
Naringenin,AC096564.2
Naringenin,AL139352.1
Naringenin,PART1
Naringenin,MYCNOS
Vancomycin,LINC00652
Vancomycin,AC002310.2
Iocetamic acid,KIF25-AS1
Iocetamic acid,LINC00342
Iocetamic acid,AL450384.2
3-acetamidocoumarin,LINC00563
3-acetamidocoumarin,AL157838.1
Haloperidol,MYCNOS
Haloperidol,RFPL1S
Haloperidol,NEAT1
Haloperidol,NDUFB2-AS1
Acetylsalicylic acid,AC002310.2
Acetylsalicylic acid,LINC00963
Fulvestrant,AP003469.4
Fulvestrant,LINC00963
Tanespimycin,MEG3
Sirolimus,SNHG17
Sirolimus,SNHG3
Sirolimus,MCF2L-AS1
Estradiol,PRIM2
Valproic Acid,NDUFB2-AS1
Valproic Acid,TP73-AS1
alpha-estradiol,AP003469.4
alpha-estradiol,VASH1-AS1
Tretinoin,DIAPH2-AS1
Tretinoin,AL031598.1
Tretinoin,TCL6
Alvespimycin,DIAPH2-AS1
Alvespimycin,RHPN1-AS1
Alvespimycin,LINC00563
Alvespimycin,KIF25-AS1
Alvespimycin,ZNF213-AS1
Valproic Acid,LINC00472
Valproic Acid,CTXND1
Prochlorperazine,MCF2L-AS1
Prochlorperazine,PRIM2
LY-294002,LINC00963
LY-294002,DIAPH2-AS1
Chlorpromazine,MEG3
Tanespimycin,MCF2L-AS1
monorden,PRIM2
monorden,NDUFB2-AS1
monorden,AC010834.1
Vorinostat,LINC02172
Vorinostat,SMAD5-AS1
Vorinostat,CTXND1
Vorinostat,LINC00963
Vorinostat,AP003469.4
Valproic Acid,MCF2L-AS1
Valproic Acid,XIST
Valproic Acid,LINC00963
Masoprocol,AL355922.1
Trifluoperazine,CTXND1
Tanespimycin,SMG7-AS1
Tanespimycin,FOXD1-AS1
Tanespimycin,NDUFB2-AS1
LY-294002,NEAT1
LY-294002,GSN-AS1
Geldanamycin,RHPN1-AS1
Geldanamycin,AC002310.2
Clozapine,LINC00963
Thioridazine,SNHG20
Thioridazine,IDI2-AS1
Thioridazine,AC004674.1
Thioridazine,LINC01963
15-delta prostaglandin J2,VASH1-AS1
15-delta prostaglandin J2,MEG3
15-delta prostaglandin J2,LINC00963
15-delta prostaglandin J2,NDST2
15-delta prostaglandin J2,KIF25-AS1
Rosiglitazone,NDUFB2-AS1
Rosiglitazone,XIST
Genistein,KIF25-AS1
Genistein,DIAPH2-AS1
Genistein,AC090360.1
Genistein,LINC00563
LY-294002,AL117378.1
LY-294002,VASH1-AS1
LY-294002,Z83844.2
LY-294002,RHPN1-AS1
Fluphenazine,AL034550.1
Fluphenazine,MYCNOS
Fulvestrant,PRIM2
LY-294002,AC090360.1
LY-294002,AC010834.1
Valproic Acid,ZNF710-AS1
Valproic Acid,PRIM2
Valproic Acid,MMP24OS
Estradiol,MAPKAPK5-AS1
Estradiol,NEAT1
Estradiol,XIST
Estradiol,LINC02172
Estradiol,NDUFB2-AS1
Wortmannin,AC007405.1
Wortmannin,SNHG3
Haloperidol,MEG3
Haloperidol,ZNF710-AS1
L-proline betaine,SNHG3
Astemizole,AL441883.1
Astemizole,IDI2-AS1
Astemizole,LINC00342
Astemizole,NOP14-AS1
estropipate,AL450384.2
Labetalol,AC007876.1
Labetalol,TCL6
Labetalol,AL450384.2
Labetalol,AC007389.3
Labetalol,AL157838.1
Labetalol,AP003469.4
Sulfanilamide,AC002310.2
Sertaconazole,LINC01361
Sertaconazole,MCF2L-AS1
Sertaconazole,SNHG20
Sertaconazole,PART1
Sertaconazole,AC098487.1
Kinetin,IDI2-AS1
Kinetin,AC002310.2
Clonidine,LINC00472
Clonidine,ENSG00000229645
Clonidine,AL034550.1
Clonidine,VASH1-AS1
Clonidine,AC007613.1
Clonidine,LINC00599
Clonidine,MEG3
Clonidine,AL450384.2
Clonidine,AP003469.4
Zomepirac,LINC01963
Zomepirac,LINC01361
Zomepirac,MCF2L-AS1
Zomepirac,AC007389.3
Zomepirac,SMAD5-AS1
Dacarbazine,AP003469.4
Dacarbazine,LINC01963
Dacarbazine,FOXD1-AS1
Dacarbazine,ZNF710-AS1
Dacarbazine,PRKCZ-AS1
Aminophenazone,CTXND1
Aminophenazone,AC007389.3
trichostatin A,LINC00472
trichostatin A,DIAPH2-AS1
pipenzolate bromide,RHPN1-AS1
Riboflavin,MCF2L-AS1
Riboflavin,NDUFB2-AS1
napelline,ZNF213-AS1
Clomipramine,LINC01361
Clomipramine,MCF2L-AS1
Clomipramine,AC007389.3
Clomipramine,AL450384.2
Clomipramine,TCL6
Clomipramine,DIAPH2-AS1
Amrinone,AL021937.4
Amrinone,VASH1-AS1
Amrinone,AP003469.4
Amrinone,AL450384.2
altizide,AL441883.1
altizide,NDUFB2-AS1
altizide,AL450384.2
clofilium tosylate,IDI2-AS1
clofilium tosylate,LINC00472
clofilium tosylate,VASH1-AS1
securinine,RHPN1-AS1
securinine,MIR22HG
Acepromazine,AC007613.1
Acepromazine,NDUFB2-AS1
Acepromazine,LINC00342
Acepromazine,NDST2
Acepromazine,AC007389.3
Acepromazine,LINC00472
(-)-isoprenaline,AP003469.4
(-)-isoprenaline,AL450384.2
Pindolol,VASH1-AS1
Clobetasol,PRKCZ-AS1
diperodon,CTXND1
diperodon,AL450384.2
clidinium bromide,MCF2L-AS1
epivincamine,TCL6
epivincamine,AC007389.3
epivincamine,MCF2L-AS1
epivincamine,NDUFB2-AS1
Benzylpenicillin,AL450384.2
Benzylpenicillin,CTXND1
Benzylpenicillin,AL034550.1
Benzylpenicillin,AP003469.4
Dihydroergotamine,AL450384.2
Dihydroergotamine,LINC02172
Dihydroergotamine,CTXND1
Dihydroergotamine,AL117378.1
Dihydroergotamine,GSN-AS1
Furosemide,AL450384.2
Furosemide,AL117378.1
Furosemide,ZNF213-AS1
Furosemide,AP003469.4
Iopromide,LINC01136
Iopromide,TP73-AS1
Iopromide,CTXND1
Iopromide,PRKCZ-AS1
isocorydine,ZNF213-AS1
isocorydine,VASH1-AS1
isocorydine,AL450384.2
isocorydine,ZNF710-AS1
Oxyphenbutazone,AL441883.1
Oxyphenbutazone,ZNF710-AS1
Oxyphenbutazone,XIST
ampyrone,AL450384.2
Metoprolol,VASH1-AS1
Metoprolol,AL117378.1
Metoprolol,LINC02172
Nialamide,AC096564.2
Nialamide,ZNF213-AS1
Nialamide,MYCNOS
santonin,GSN-AS1
santonin,AL034550.1
Homosalate,LINC00342
Homosalate,AL034550.1
Homosalate,AP003469.4
parbendazole,LINC00563
Cyclacillin,TCL6
Flutamide,MCF2L-AS1
Flutamide,AL021937.4
Tolbutamide,AC093010.3
Tolbutamide,AC096564.2
Tolbutamide,AP003469.4
Camptothecin,MAPKAPK5-AS1
Camptothecin,AC093010.3
fenbendazole,LINC01361
fenbendazole,MCF2L-AS1
"2,6-dimethylpiperidine",LINC01963
beta-escin,TCL6
beta-escin,LINC00342
Ethotoin,AC010542.4
Ethotoin,AC002310.2
Chlorcyclizine,AC007405.1
Chlorcyclizine,AL139352.1
Chlorcyclizine,LINC01963
Tinidazole,AL034550.1
Tinidazole,LINC00652
Tinidazole,AL021937.4
Tinidazole,MCF2L-AS1
Guaifenesin,RHPN1-AS1
Methimazole,MCF2L-AS1
lithocholic acid,PRKCZ-AS1
lithocholic acid,AC002310.2
alpha-ergocryptine,ACVR2B-AS1
Spiradoline,MCF2L-AS1
Spiradoline,RHPN1-AS1
withaferin A,ZNF213-AS1
withaferin A,RHPN1-AS1
Citalopram,NDUFB2-AS1
Citalopram,FOXD1-AS1
Citalopram,WT1-AS
Paroxetine,ENSG00000229645
Paroxetine,ZNF213-AS1
thiostrepton,AL355922.1
thiostrepton,AC007405.1
Etidronic acid,XIST
Etidronic acid,LINC01361
